	时间	收盘价	开盘价	最高价	最低价	成交额（元）	成交量（手）	对数收益率
1	20130801093100	9.84	9.81	9.9	9.81	649650	591	0.003053437
2	20130801093200	9.83	9.84	9.87	9.82	634400	576	-0.001016777
3	20130801093300	9.87	9.83	9.87	9.82	1182750	1077	0.004060919
4	20130801093400	9.84	9.84	9.84	9.83	605256	551	-0.003044142
5	20130801093500	9.82	9.82	9.84	9.82	392178	357	-0.002034589
6	20130801093600	9.87	9.82	9.87	9.82	413637	376	0.005078731
7	20130801093700	9.84	9.82	9.87	9.82	147590	134	-0.003044142
8	20130801093800	9.85	9.84	9.85	9.84	487357	443	0.001015744
9	20130801093900	9.89	9.84	9.89	9.84	872757	791	0.00405269
10	20130801094000	9.88	9.86	9.9	9.86	144723	131	-0.001011634
11	20130801094100	10.01	9.94	10.01	9.94	1589945	1430	0.013072082
12	20130801094200	9.98	10	10.01	9.98	664234	594	-0.003001503
13	20130801094300	9.91	9.98	9.98	9.91	831566	748	-0.007038742
14	20130801094400	9.98	9.96	9.98	9.94	150919	135	0.007038742
15	20130801094500	9.98	9.98	9.98	9.98	614833	551	0
16	20130801094600	10.01	9.99	10.01	9.96	2568741	2299	0.003001503
17	20130801094700	10.03	10.01	10.04	10.01	1078906	963	0.001996009
18	20130801094800	9.98	10.02	10.02	9.98	463274	414	-0.004997512
19	20130801094900	9.98	9.98	9.99	9.96	263114	236	0
20	20130801095000	10	10	10	9.98	485873	435	0.002002003
21	20130801095100	10.01	10.01	10.03	10.01	2362630	2110	0.0009995
22	20130801095200	9.98	10.01	10.01	9.98	959544	858	-0.003001503
23	20130801095300	9.98	10.01	10.01	9.98	547898	490	0
24	20130801095400	9.97	9.98	9.98	9.97	270957	243	-0.001002506
25	20130801095500	9.96	9.97	9.97	9.96	141401	127	-0.001003512
26	20130801095600	10.01	9.97	10.02	9.97	1682683	1506	0.005007522
27	20130801095700	10.01	10.02	10.02	10.01	1441156	1287	0
28	20130801095800	10.02	9.99	10.02	9.99	2471465	2210	0.000998502
29	20130801095900	10.04	10.04	10.05	10.02	2192767	1955	0.001994019
30	20130801100000	10.08	10.04	10.08	10.04	2666341	2372	0.003976148
31	20130801100100	10.1	10.09	10.1	10.09	3145742	2787	0.001982161
32	20130801100200	10.07	10.1	10.1	10.07	1170220	1038	-0.002974717
33	20130801100300	10.06	10.08	10.08	10.06	398773	354	-0.000993542
34	20130801100400	10.05	10.07	10.07	10.05	458657	408	-0.00099453
35	20130801100500	10.04	10.05	10.06	10.04	1005076	895	-0.00099552
36	20130801100600	10.06	10.07	10.07	10.05	1289628	1148	0.00199005
37	20130801100700	10.03	10.06	10.06	10.02	1338486	1193	-0.002986563
38	20130801100800	10.09	10.05	10.11	10.05	2657941	2357	0.005964232
39	20130801100900	10.13	10.11	10.13	10.11	3388498	2997	0.003956484
40	20130801101000	10.1	10.13	10.13	10.07	2918738	2583	-0.002965894
41	20130801101100	10.07	10.09	10.09	10.07	1015075	901	-0.002974717
42	20130801101200	10.09	10.08	10.1	10.08	1740550	1543	0.001984128
43	20130801101300	10.08	10.09	10.1	10.08	1513427	1342	-0.000991572
44	20130801101400	10.07	10.07	10.08	10.07	1065167	946	-0.000992556
45	20130801101500	10.09	10.07	10.09	10.07	1104762	981	0.001984128
46	20130801101600	10.11	10.1	10.13	10.1	1829939	1619	0.001980199
47	20130801101700	10.12	10.13	10.13	10.11	871024	770	0.000988631
48	20130801101800	10.1	10.12	10.12	10.1	1002017	887	-0.00197824
49	20130801101900	10.09	10.1	10.1	10.09	230154	204	-0.000990589
50	20130801102000	10.08	10.08	10.09	10.08	808274	717	-0.000991572
51	20130801102100	10.08	10.08	10.08	10.08	94668	84	0
52	20130801102200	10.09	10.08	10.09	10.08	591853	525	0.000991572
53	20130801102300	10.07	10.08	10.08	10.07	2018007	1792	-0.001984128
54	20130801102400	10.13	10.07	10.13	10.07	2500735	2214	0.005940612
55	20130801102500	10.12	10.13	10.13	10.11	875270	774	-0.000987654
56	20130801102600	10.11	10.12	10.13	10.11	866223	766	-0.000988631
57	20130801102700	10.09	10.11	10.11	10.09	611124	541	-0.001980199
58	20130801102800	10.1	10.09	10.1	10.09	426546	378	0.000990589
59	20130801102900	10.07	10.09	10.09	10.07	236586	210	-0.002974717
60	20130801103000	10.07	10.07	10.08	10.07	112604	100	0
61	20130801103100	10.08	10.08	10.08	10.07	91258	81	0.000992556
62	20130801103200	10.08	10.07	10.08	10.07	208965	186	0
63	20130801103300	10.08	10.08	10.08	10.07	128448	114	0
64	20130801103400	10.07	10.07	10.08	10.07	1168325	1037	-0.000992556
65	20130801103500	10.07	10.07	10.07	10.07	797208	708	0
66	20130801103600	10.07	10.07	10.07	10.07	441956	393	0
67	20130801103700	10.07	10.07	10.07	10.07	95834	85	0
68	20130801103800	10.07	10.07	10.08	10.07	245605	218	0
69	20130801103900	10.08	10.07	10.08	10.07	600253	533	0.000992556
70	20130801104000	10.07	10.07	10.07	10.07	493626	438	-0.000992556
71	20130801104100	10.09	10.07	10.09	10.07	849471	754	0.001984128
72	20130801104200	10.08	10.09	10.09	10.08	191603	170	-0.000991572
73	20130801104300	10.08	10.07	10.08	10.07	84633	75	0
74	20130801104400	10.07	10.08	10.08	10.07	441399	392	-0.000992556
75	20130801104500	10.07	10.07	10.07	10.07	865663	769	0
76	20130801104600	10.06	10.07	10.07	10.06	606229	539	-0.000993542
77	20130801104700	10.06	10.06	10.06	10.06	828388	737	0
78	20130801104800	10.06	10.06	10.06	10.06	334981	298	0
79	20130801104900	10.06	10.06	10.06	10.06	140455	125	0
80	20130801105000	10.06	10.06	10.07	10.06	281020	250	0
81	20130801105100	10.07	10.06	10.07	10.06	314423	280	0.000993542
82	20130801105200	10.06	10.06	10.06	10.06	108465	96	-0.000993542
83	20130801105300	10.06	10.07	10.07	10.06	836263	744	0
84	20130801105400	10.07	10.06	10.07	10.06	309317	275	0.000993542
85	20130801105500	10.06	10.07	10.07	10.06	1057514	941	-0.000993542
86	20130801105600	10.05	10.05	10.05	10.05	125776	112	-0.00099453
87	20130801105700	10.05	10.06	10.06	10.05	470972	419	0
88	20130801105800	10.07	10.05	10.07	10.05	375312	334	0.001988072
89	20130801105900	10.07	10.07	10.07	10.06	148481	132	0
90	20130801110000	10.06	10.07	10.07	10.06	241438	215	-0.000993542
91	20130801110100	10.07	10.06	10.07	10.06	286691	255	0.000993542
92	20130801110200	10.06	10.06	10.06	10.06	3372	3	-0.000993542
93	20130801110300	10.05	10.07	10.07	10.05	486743	433	-0.00099453
94	20130801110400	10.03	10.05	10.05	10.03	565761	505	-0.001992033
95	20130801110500	10	10.02	10.02	10	1479912	1322	-0.002995509
96	20130801110600	9.98	10	10	9.98	604899	542	-0.002002003
97	20130801110700	9.99	9.98	9.99	9.98	557835	500	0.001001502
98	20130801110800	10.01	9.99	10.01	9.99	91716	82	0.002000001
99	20130801110900	10.02	9.99	10.02	9.99	294007	263	0.000998502
100	20130801111000	9.98	9.98	10.02	9.98	366690	328	-0.004000005
101	20130801111100	9.98	9.98	10.01	9.98	157182	140	0
102	20130801111200	9.99	9.98	10.01	9.98	142890	128	0.001001502
103	20130801111300	9.97	9.98	9.98	9.97	437597	393	-0.002004009
104	20130801111400	9.97	9.98	9.98	9.97	358501	322	0
105	20130801111500	9.98	9.97	9.98	9.97	222056	199	0.001002506
106	20130801111600	9.98	9.98	9.99	9.98	151827	136	0
107	20130801111700	9.97	9.98	9.98	9.97	283839	254	-0.001002506
108	20130801111800	9.97	9.96	9.97	9.96	208546	188	0
109	20130801111900	9.98	9.97	9.98	9.97	208648	187	0.001002506
110	20130801112000	9.98	9.98	9.98	9.98	125442	112	0
111	20130801112100	9.98	9.98	9.98	9.98	140521	126	0
112	20130801112200	10	9.98	10	9.98	634228	568	0.002002003
113	20130801112300	10	10.01	10.01	10	184483	165	0
114	20130801112400	9.98	9.98	9.98	9.98	5577	5	-0.002002003
115	20130801112500	10	9.98	10	9.98	191974	172	0.002002003
116	20130801112600	9.98	9.98	9.98	9.98	12276	11	-0.002002003
117	20130801112700	9.98	9.98	9.98	9.98	182476	164	0
118	20130801112800	9.98	9.98	9.99	9.98	344214	308	0
119	20130801112900	9.97	9.98	9.98	9.97	358572	322	-0.001002506
120	20130801113000	9.97	9.97	9.97	9.97	101388	91	0
121	20130801130100	9.98	9.98	9.98	9.98	215702	193	0.001002506
122	20130801130200	9.99	9.98	9.99	9.98	170899	153	0.001001502
123	20130801130300	10	10	10	10	375648	336	0.0010005
124	20130801130400	9.99	10	10.01	9.99	238240	213	-0.0010005
125	20130801130500	10	9.99	10	9.99	14526	13	0.0010005
126	20130801130600	10	10	10	10	63723	57	0
127	20130801130700	10.03	10.02	10.03	10.02	755696	675	0.002995509
128	20130801130800	10.04	10.04	10.04	10.04	437615	390	0.000996512
129	20130801130900	10.04	10.05	10.05	10.04	107776	96	0
130	20130801131000	10.05	10.05	10.05	10.05	391927	349	0.00099552
131	20130801131100	10.04	10.04	10.05	10.04	257038	229	-0.00099552
132	20130801131200	10.03	10.04	10.04	10.03	354457	316	-0.000996512
133	20130801131300	10.02	10.03	10.03	10.02	346222	309	-0.000997506
134	20130801131400	10.03	10.02	10.03	10.02	462729	413	0.000997506
